title,status,proposal_date,categories,party_cleaned
ร่างพระราชบัญญัติการปฏิรูปที่ดินเพื่อเกษตรกรรม (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-21,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,MERGED,2023-07-04,การเมือง,พรรคเพื่อไทย
ร่างพระราชบัญญัติการศึกษาเท่าเทียม พ.ศ. ....,IN_PROGRESS,2024-12-12,การศึกษา,พรรคภูมิใจไทย
ร่างพระราชบัญญัติการศึกษาเท่าเทียม พ.ศ. ....,IN_PROGRESS,2024-12-12,การศึกษา,พรรคภูมิใจไทย
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,MERGED,2024-12-12,สาธารณสุข,พรรคภูมิใจไทย
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,MERGED,2024-12-12,สาธารณสุข,พรรคภูมิใจไทย
"ร่างพระราชบัญญัตินิรโทษกรรมแก่ราษฎร ซึ่งได้รับความเสียหายหรือได้รับผลกระทบ
จากการดำเนินการตามนโยบายของรัฐด้านที่ดินและทรัพยากรธรรมชาติ พ.ศ. ....",IN_PROGRESS,2024-11-14,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-11-12,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติยกเลิกคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 8/2560 เรื่อง การขับเคลื่อนการปฏิรูปการบริหารงานส่วนบุคคลท้องถิ่น ลงวันที่ 21 กุมภาพันธ์ พุทธศักราช 2560 พ.ศ. ....,MERGED,2024-11-12,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-30,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-30,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติให้ใช้ประมวลกฎหมายวิธีพิจารณาความอาญา (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-02-26,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติการพนัน (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-01-22,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติเทศบาล (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-30,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติเทศบาล (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-30,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-24,การศึกษา,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-30,การศึกษา,พรรคภูมิใจไทย
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-30,การศึกษา,พรรคภูมิใจไทย
